name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;763;0;854;3051;1599;3051;1507;0
header;36;140;36;173;1669;173;1669;140
A;846;203;846;230;868;230;868;203
B;1378;531;1378;549;1390;549;1390;531
B;1427;623;1427;641;1440;641;1440;623
C;1105;715;1105;734;1121;734;1121;715
B;844;880;844;909;866;909;866;880
D;1514;1078;1514;1104;1547;1104;1547;1078
A;992;1096;992;1107;998;1107;998;1096
A;1193;1325;1193;1336;1199;1336;1199;1325
C;846;1551;846;1578;866;1578;866;1551
A;1269;2030;1269;2033;1272;2033;1272;2030
D;850;2217;850;2244;872;2244;872;2217
B;1397;2461;1397;2478;1409;2478;1409;2461
B;1269;2700;1269;2717;1282;2717;1282;2700
A;1015;2954;1015;2959;1015;2959;1015;2954
